time,TRGW-2-8-29,TRGW-2-29-5,TRGW-2-41-32,TRGW-2-68-47,TRGW-2-80-20,TRGW-2-89-47,TRGW-0-8-29,TRGW-0-29-5,TRGW-0-41-32,TRGW-0-68-47,TRGW-0-80-20,TRGW-0-89-47
1.000000000000,35.41956278,36.12577400,34.94129516,34.58275608,34.88863140,34.42930291,35.42951730,36.13574410,34.95084940,34.57352519,34.89822174,34.42284647
31.00000000000,35.11290424,35.70391299,34.68694794,34.38096204,34.61050791,34.24725993,35.12111342,35.71254792,34.69467574,34.37538347,34.61833906,34.24348900
61.00000000000,35.52926938,36.25599618,35.04262238,34.66795610,34.99889616,34.50869976,35.53985278,36.26614103,35.05297267,34.65718378,35.00918105,34.50111315
91.00000000000,36.15263860,37.14034907,35.54631334,35.06060000,35.55250181,34.85981557,36.16683312,37.15358038,35.56025459,35.04038051,35.56634373,34.84502265
121.0000000000,36.66451392,37.89303765,35.94602165,35.36556352,35.99328932,35.12992294,36.68172282,37.90920657,35.96274876,35.33646985,36.00996698,35.10825717
151.0000000000,36.89385877,38.25157329,36.11383219,35.48819255,36.17864773,35.23604959,36.91243683,38.26939051,36.13165896,35.45505410,36.19651210,35.21124870
181.0000000000,36.75730271,38.08484299,35.98928496,35.38460738,36.04104951,35.14002904,36.77507441,38.10240865,36.00611610,35.35445744,36.05801115,35.11757719
211.0000000000,36.27937160,37.41913255,35.59673726,35.07576694,35.60813947,34.86183746,36.29432544,37.43453242,35.61070003,35.05434978,35.62230038,34.84613246
241.0000000000,35.57744623,36.41817365,35.03257095,34.63716195,34.98812429,34.47003865,35.58831923,36.43001127,35.04253321,34.62628019,34.99830821,34.46230107
271.0000000000,34.82781326,35.33415651,34.43771564,34.17740395,34.33690661,34.06141952,34.83441985,35.34193163,34.44358017,34.17473494,34.34297209,34.05970273
301.0000000000,34.22491247,34.44794463,33.96633602,33.81521043,33.82281521,33.74111454,34.22817111,34.45220879,33.96907115,33.81666545,33.82569421,33.74227852
331.0000000000,33.93117973,33.99602549,33.74683678,33.65067428,33.58431446,33.59771766,33.93283953,33.99825376,33.74821569,33.65338556,33.58575671,33.59973226
361.0000000000,34.03051525,34.10464833,33.84456931,33.73599290,33.69138962,33.67815077,34.03271197,34.10686392,33.84671549,33.73848237,33.69350995,33.68016696
391.0000000000,34.49739982,34.74720508,34.23318540,34.04647361,34.11533324,33.95828274,34.50215381,34.75145169,34.23804628,34.04637452,34.12009303,33.95860432
421.0000000000,35.20284822,35.74860039,34.80322374,34.49221887,34.73833805,34.35653610,35.21155940,35.75638613,34.81204972,34.48528888,34.74702294,34.35185681
451.0000000000,35.95678268,36.83968353,35.40086645,34.95303289,35.39357428,34.76600734,35.96982960,36.85156279,35.41385403,34.93575774,35.40642996,34.75347385
481.0000000000,36.56309873,37.73531030,35.87179579,35.31126340,35.91192036,35.08281169,36.57970373,37.75075064,35.88803907,35.28389212,35.92808891,35.06247706
511.0000000000,36.86749675,38.20568212,36.09719900,35.47736312,36.16050143,35.22728673,36.88591488,38.22323112,36.11493633,35.44462871,36.17825664,35.20279434
541.0000000000,36.79612655,38.13529621,36.02317016,35.41216686,36.07859022,35.16527074,36.81412719,38.15297804,36.04026294,35.38121098,36.09579854,35.14218820
571.0000000000,36.36730004,37.54265084,35.66846796,35.13198969,35.68722382,34.91233969,36.38276957,37.55846451,35.68294936,35.10905741,35.70189506,34.89547187
601.0000000000,35.68985047,36.57932633,35.12247352,34.70689107,35.08676774,34.53218522,35.70137165,36.59174866,35.13306687,34.69450052,35.09758212,34.52332033
631.0000000000,34.93531676,35.49049895,34.52258624,34.24287667,34.42967913,34.11951234,34.94252840,35.49887141,34.52902715,34.23923340,34.43632648,34.11709504
661.0000000000,34.29889588,34.55794822,34.02357608,33.85900073,33.88514869,33.77971763,34.30256057,34.56266370,34.02668257,33.86007336,33.88840949,33.78062287
691.0000000000,33.95105296,34.02952267,33.76018551,33.65994159,33.59876233,33.60542170,33.95282018,34.03193506,33.76163512,33.66256816,33.60028827,33.60737123
721.0000000000,33.99022345,34.05178316,33.80963681,33.70735360,33.65328243,33.65195540,33.99220226,34.05386458,33.81153341,33.70997690,33.65516622,33.65403311
