time,ghb,in-out,percent-discrepancy,rcha,sfr,sto-ss,sto-sy,total,wel
1.0,-971.4346,-0.6821,-0.02,4412.5005,-2541.3384,0.0,0.0,-0.6821289,-900.4096
31.0,-763.6149,-0.2659,-0.01,3188.13,-1913.9728,10.7207,379.0147,-0.26586914,-900.5438
61.0,-1066.7405,0.2023,0.0,5310.742,-2804.428,-14.9105,-523.9712,0.20214844,-900.4899
91.0,-1465.1356,0.259,0.0,7198.9443,-4053.7705,-21.7897,-757.4275,0.25878906,-900.562
121.0,-1767.2963,0.2615,0.0,8341.239,-5046.5635,-17.7914,-608.9275,0.2607422,-900.3995
151.0,-1882.1321,0.2971,0.0,8508.521,-5455.439,-7.7037,-262.4314,0.296875,-900.5181
181.0,-1767.4462,-0.155,-0.0,7608.735,-5124.7983,5.3923,178.4471,-0.15478516,-900.4847
211.0,-1449.096,-0.2319,-0.0,5874.459,-4128.4897,17.2872,586.0591,-0.2319336,-900.4517
241.0,-1005.8476,-0.1433,-0.0,3761.8677,-2730.774,24.4964,850.4723,-0.1430664,-900.3578
271.0,-550.7657,-0.3277,-0.01,1819.8691,-1296.4412,25.2965,902.1273,-0.32763672,-900.4137
301.0,-200.3919,-0.2164,-0.02,559.1474,-197.2887,19.6733,719.0364,-0.2163086,-900.393
331.0,-48.6828,-0.262,-0.03,308.4819,290.1776,9.1282,341.1423,-0.26202393,-900.5092
361.0,-142.4041,0.3124,0.03,1133.2948,51.0325,-3.8207,-137.2902,0.31237793,-900.4999
391.0,-455.2916,0.2125,0.01,2818.2683,-867.8556,-15.8535,-578.6726,0.21240234,-900.3825
421.0,-900.7556,0.1468,0.0,4922.644,-2239.3044,-23.8653,-858.1165,0.14697266,-900.4555
451.0,-1361.3038,0.2619,0.0,6895.2607,-3701.4277,-25.7585,-906.0176,0.26220703,-900.4911
481.0,-1715.7958,0.2672,0.0,8221.813,-4865.6074,-20.8885,-718.7853,0.26757812,-900.4686
511.0,-1873.476,0.2574,0.0,8552.593,-5417.3745,-10.2868,-350.7227,0.2578125,-900.4758
541.0,-1797.0076,-0.2712,-0.0,7805.967,-5213.1753,3.1093,101.34,-0.2709961,-900.5045
571.0,-1506.5953,-0.3496,-0.01,6171.9893,-4309.1206,15.6245,528.1043,-0.34960938,-900.3517
601.0,-1075.691,-0.2465,-0.01,4081.4695,-2951.2078,23.7715,821.9098,-0.24658203,-900.4985
631.0,-615.038,-0.4939,-0.02,2078.743,-1498.37,25.5905,909.1004,-0.49365234,-900.5198
661.0,-242.1555,-0.3816,-0.03,689.2806,-328.251,20.8748,760.307,-0.3815918,-900.4374
691.0,-56.2324,-0.2172,-0.02,275.8336,262.4641,10.9348,407.1388,-0.21722412,-900.3561
721.0,-112.9057,0.341,0.03,946.5405,133.2843,-1.8513,-64.3171,0.34106445,-900.4096
